"id","content","publishTime","sid","zan","nozan"
"1","绝对真爱！！","2016-11-10 11:33:59","1","2","0"
"2","有机会哟(ㅅ&acute; ˘ `)♡楼主可以留下联系方式","2016-11-10 12:02:23","1","1","0"
"3"," 表白灯灯","2016-11-10 12:33:37","1","0","0"
"4","灯神赛高～","2016-11-10 12:36:29","1","0","0"
"5","啧啧这波狗粮","2016-11-10 13:55:06","5","0","0"
"6","发信息不回，一周见不到几次的男女朋友，还算是什么男女朋友呢","2016-11-10 15:49:33","14","2","0"
"7","我相信是没有遇到对的人，或者还不习惯两个人吧","2016-11-10 15:50:07","13","2","0"
"8","名义上的拥有真的好过彻底失去吗","2016-11-10 15:51:51","14","3","0"
"9","因为生长环境不同导致观念的对立应该是在所难免的吧 人上一百 形形色色 舍友不可能都是缺点吧 觉得有不对的地方坐下来好好谈谈吧 最后 我是小城市来的 也挺爱干净的 我们小城市 也不是没有名牌","2016-11-10 15:53:21","6","0","0"
"10","主动才会有故事呀","2016-11-10 15:55:50","11","0","0"
"11","不喜欢才会想要推开，喜欢的话应该是会小兴奋吧？","2016-11-10 15:56:20","13","2","0"
"12","想要拖单又不代表见人就要&hellip;&hellip;推开就推开呗，只是因为不是那个人吧","2016-11-10 16:09:54","13","0","0"
"13","去看医生。我很认真的。如果你真的觉得自己内心很痛苦，要有抑郁症了，那就去看医生，去做心理咨询。你要这样想:一个内心如此抑郁的你要如何带给她幸福和快乐？只有你好了，快乐了，才能走带给别人快乐的能力。不然抑郁的你只会把同样的情绪和困扰带给她。","2016-11-10 16:13:58","10","0","0"
"14","因为是绿茶&hellip;&hellip;","2016-11-10 16:14:31","8","1","0"
"15","诶&hellip;&hellip;我个人的话，是不提倡同部门恋爱的。可能是我个人强迫症吧，或者杞人忧天。同班，同院，同部门，同协会的人我都不会考虑。因为分手之后会很尴尬。但是，这只是我过不去自己那关啦～如果是建议的话，你还是可以继续喜欢他呀，喜欢到某一天，觉得实在藏不住的时候，就自然而然地说出口吧。或许在这个过程中你就能看到他的态度然后决定要不要进一步了。","2016-11-10 16:19:01","4","0","0"
"16","别为他找借口，没必要成为那种什么善解人意的女朋友。因为，爱是表达，喜欢也是表达。再木讷情商再低的人也会表达的。跟他沟通，跟他表明你内心的想法。跟她说你不要这样的爱情。你要说出来让他知道。如果他不会改甚至不理解你，那么我觉得这段感情走到尽头了。爱情一向都是，在一起的时候还能有自己，不在一起心里总是有对方。","2016-11-10 16:21:42","14","3","0"
"17","喜欢的话还会推开？","2016-11-10 16:27:51","13","0","0"
"18","楼上说得对","2016-11-10 16:28:26","8","0","0"
"19","分了吧  (ﾉ&quot;◑ڡ◑)ﾉ&quot;(｡&bull;́︿&bull;̀｡)","2016-11-10 16:32:04","14","0","0"
"20","这题劝分&hellip;","2016-11-10 16:35:27","14","0","0"
"21","放下，也是一段新的开始","2016-11-10 16:35:58","9","0","0"
"22","你也可以试试做红茶&hellip;","2016-11-10 16:36:31","8","0","0"
"23","是男是女？男女生的心理可能不一样哦。","2016-11-10 16:36:53","13","0","0"
"24","大概是靠近地太快？","2016-11-10 16:37:04","13","0","0"
"25","我以前也有过这样的经历。不过我的很直接地行动了，没有只是YY。","2016-11-10 16:38:21","11","0","0"
"26","我以前也有过这样的经历。不过我的很直接地行动了，没有只是YY。","2016-11-10 16:38:41","11","0","0"
"27","不知道怎么说，很想帮助你！","2016-11-10 16:39:16","10","0","0"
"28","楼主一定很靓仔！","2016-11-10 16:39:55","8","0","0"
"29","求助专业的心理医生，只有他们能给出更好的建议，北校区的心理咨询好像在文体中心，可以去预约看看","2016-11-10 16:40:47","10","0","0"
"30","分手 下一题","2016-11-10 16:50:30","14","0","0"
"31","摸摸&hellip;","2016-11-10 18:12:10","7","0","0"
"32","怎么也要试一试吧。男生就不应该怂","2016-11-10 21:21:04","16","2","0"
"33","应该可以找相关负责人说一下情况吧","2016-11-10 22:12:15","17","2","0"
"34","可以找楼管说一下","2016-11-10 23:28:44","17","1","0"
"36","只能说就是一个人太久了，一开始觉得反感，但后面慢慢习惯了试着接受就好，还是时间问题吧！","2016-11-10 23:45:22","13","0","0"
"37","没有父爱母爱，表示很心疼~多爱自己。","2016-11-11 18:16:31","20","1","0"
"38","同上","2016-11-11 19:04:03","20","3","0"
"39","同上","2016-11-11 19:04:03","20","1","0"
"40","为什么不试试去说明下你的内心","2016-11-11 19:07:09","19","0","0"
"41","兔子就要吃窝边草","2016-11-11 19:46:58","4","0","0"
"42","怎么别人还能评论&hellip;宝宝不是来求同情的，无语&hellip;","2016-11-11 20:32:27","20","0","0"
"43","加油↖(^&omega;^)↗","2016-11-11 20:42:45","20","0","0"
"44","相信我，会的！","2016-11-11 20:53:45","23","1","0"
"45","处男有什么问题？","2016-11-12 00:05:16","27","1","0"
"46","excuse me？处男有什么问题？","2016-11-12 00:18:11","27","1","0"
"47","你是有多不小心才能看到那么多东西&hellip;&hellip;","2016-11-12 00:19:26","23","0","0"
"48","就是朋友吧。怎么说呢，这是一个让人很无奈又不得不接受的事实:Q是你男票青春是一个很美好的回忆。如果你能接受Q的存在，那自是极好的。一方面正因为Q的存在降低了你男票真正出轨或者喜欢上别人的几率;另一方面，你的体贴有助于你们感情的持续稳定--回忆和青春的悸动总是难以取代的不是吗。","2016-11-12 01:22:12","28","0","0"
